,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,AoA_mean,onset,word_length,aoa_impact,set_size
106,#k,7.4975000000000005,dark,1.57,1,d#k,N,1,19.0,19.0,88.61,3.74,1.37,1.0,3.74,d,3,-3.7575000000000003,8
107,#k,7.4975000000000005,hark,0.3,1,h#k,V,1,19.0,17.0,1.69,10.47,4.96,0.89,10.47,h,3,2.9725,8
108,#k,7.4975000000000005,lark,0.6,1,l#k,N,1,19.0,17.0,1.63,11.82,3.78,0.89,11.82,l,3,4.3225,8
109,#k,7.4975000000000005,mark,1.74,1,m#k,N,1,20.0,20.0,82.02,6.48,1.7,1.0,6.48,m,3,-1.0175,8
110,#k,7.4975000000000005,nark,0.0,1,n#k,N,1,18.0,14.0,0.06,12.36,2.87,0.78,12.36,n,3,4.862499999999999,8
111,#k,7.4975000000000005,park,1.85,1,p#k,N,1,19.0,19.0,72.12,4.47,1.87,1.0,4.47,p,3,-3.0275000000000007,8
112,#k,7.4975000000000005,shark,1.3,1,S#k,N,1,19.0,19.0,14.98,5.47,1.65,1.0,5.47,S,3,-2.0275000000000007,8
139,#m,6.8914285714285715,balm,0.0,1,b#m,N,1,18.0,18.0,0.59,10.28,5.27,1.0,10.28,b,3,3.388571428571428,7
140,#m,6.8914285714285715,calm,0.95,1,k#m,N,1,19.0,19.0,89.04,6.26,2.18,1.0,6.26,k,3,-0.6314285714285717,7
141,#m,6.8914285714285715,charm,1.34,1,J#m,N,1,22.0,22.0,15.57,8.09,2.83,1.0,8.09,J,3,1.1985714285714284,7
142,#m,6.8914285714285715,farm,1.93,1,f#m,N,1,20.0,20.0,30.04,3.85,1.5,1.0,3.85,f,3,-3.0414285714285714,7
143,#m,6.8914285714285715,harm,1.48,1,h#m,N,1,18.0,18.0,31.78,5.0,1.41,1.0,5.0,h,3,-1.8914285714285715,7
144,#m,6.8914285714285715,palm,1.48,1,p#m,N,1,21.0,21.0,13.24,6.0,2.83,1.0,6.0,p,3,-0.8914285714285715,7
145,#m,6.8914285714285715,psalm,0.48,1,s#m,N,1,21.0,21.0,0.51,8.76,2.91,1.0,8.76,s,3,1.8685714285714283,7
149,#m@,8.056666666666667,karma,0.0,1,k#m@,N,2,21.0,21.0,3.45,13.67,3.07,1.0,13.67,k,4,5.613333333333333,3
150,#m@,8.056666666666667,llama,0.0,1,l#m@,N,2,19.0,18.0,1.41,8.61,2.85,0.95,8.61,l,4,0.5533333333333328,3
151,#m@,8.056666666666667,mama,1.0,1,m#m@,N,2,19.0,19.0,103.71,1.89,1.29,1.0,1.89,m,4,-6.166666666666667,3
160,#mIN,5.8149999999999995,charming,1.34,1,J#mIN,A,2,19.0,19.0,28.12,6.26,2.26,1.0,6.26,J,5,0.4450000000000003,2
161,#mIN,5.8149999999999995,farming,1.48,1,f#mIN,N,2,19.0,19.0,1.61,5.37,2.14,1.0,5.37,f,5,-0.4449999999999994,2
165,#n,9.302,barn,1.11,1,b#n,N,1,18.0,18.0,13.59,4.5,1.62,1.0,4.5,b,3,-4.802,5
166,#n,9.302,darn,0.0,1,d#n,N,1,19.0,18.0,13.9,8.0,3.94,0.95,8.0,d,3,-1.3019999999999996,5
167,#n,9.302,khan,0.85,1,k#n,N,1,18.0,10.0,3.88,14.2,4.52,0.56,14.2,k,3,4.898,5
168,#n,9.302,tarn,0.0,1,t#n,N,1,19.0,10.0,0.92,13.2,2.74,0.53,13.2,t,3,3.8979999999999997,5
169,#n,9.302,yarn,0.3,1,j#n,N,1,18.0,18.0,1.59,6.61,2.66,1.0,6.61,j,3,-2.6919999999999993,5
172,#nIS,11.65,garnish,0.0,1,g#nIS,N,2,20.0,20.0,0.53,13.3,4.43,1.0,13.3,g,5,1.6500000000000004,3
173,#nIS,11.65,tarnish,0.0,0,t#nIS,N,2,18.0,18.0,0.37,11.39,3.29,1.0,11.39,t,5,-0.2599999999999998,3
174,#nIS,11.65,varnish,0.3,1,v#nIS,N,2,19.0,19.0,0.41,10.26,3.6,1.0,10.26,v,5,-1.3900000000000006,3
180,#nP,12.809999999999999,carnal,0.3,0,k#nP,A,2,18.0,17.0,1.2,12.29,3.02,0.94,12.29,k,4,-0.5199999999999996,2
181,#nP,12.809999999999999,charnel,0.0,1,J#nP,N,2,18.0,6.0,0.06,13.33,2.66,0.33,13.33,J,4,0.5200000000000014,2
182,#ns,8.066666666666666,chance,2.24,1,J#ns,N,1,18.0,18.0,241.24,7.78,2.1,1.0,7.78,J,4,-0.2866666666666662,3
183,#ns,8.066666666666666,dance,1.57,1,d#ns,N,1,19.0,19.0,148.04,4.63,1.57,1.0,4.63,d,4,-3.4366666666666665,3
184,#ns,8.066666666666666,lance,0.3,1,l#ns,N,1,19.0,19.0,10.86,11.79,3.94,1.0,11.79,l,4,3.7233333333333327,3
189,#p,8.36,carp,0.7,1,k#p,N,1,19.0,19.0,0.76,11.42,4.9,1.0,11.42,k,3,3.0600000000000005,3
190,#p,8.36,harp,0.48,1,h#p,N,1,20.0,20.0,2.63,7.55,3.59,1.0,7.55,h,3,-0.8099999999999996,3
191,#p,8.36,sharp,0.0,1,S#p,N,1,19.0,19.0,23.78,6.11,2.73,1.0,6.11,S,3,-2.249999999999999,3
204,#s,8.754999999999999,farce,0.6,1,f#s,N,1,18.0,16.0,1.75,12.12,2.99,0.89,12.12,f,3,3.365,2
205,#s,8.754999999999999,pass,1.45,1,p#s,N,1,18.0,18.0,108.12,5.39,1.65,1.0,5.39,p,3,-3.3649999999999993,2
212,#sP,8.235,castle,1.43,1,k#sP,N,2,20.0,20.0,21.55,5.8,2.48,1.0,5.8,k,4,-2.4349999999999996,2
213,#sP,8.235,parcel,1.08,1,p#sP,N,2,19.0,18.0,1.39,10.67,3.16,0.95,10.67,p,4,2.4350000000000005,2
214,#sk,9.19,bask,0.6,1,b#sk,V,1,20.0,19.0,0.57,10.95,2.41,0.95,10.95,b,4,1.7599999999999998,4
215,#sk,9.19,cask,0.0,1,k#sk,N,1,19.0,17.0,0.12,13.12,5.4,0.89,13.12,k,4,3.9299999999999997,4
216,#sk,9.19,mask,1.3,1,m#sk,N,1,20.0,20.0,19.8,4.8,2.46,1.0,4.8,m,4,-4.39,4
217,#sk,9.19,task,1.92,1,t#sk,N,1,18.0,18.0,12.73,7.89,2.93,1.0,7.89,t,4,-1.2999999999999998,4
219,#skIt,6.965,basket,1.38,1,b#skIt,N,2,18.0,18.0,13.18,5.67,2.35,1.0,5.67,b,6,-1.295,2
220,#skIt,6.965,casket,0.3,0,k#skIt,N,2,19.0,19.0,3.18,8.26,2.54,1.0,8.26,k,6,1.295,2
223,#sp,11.299999999999999,gasp,0.7,1,g#sp,N,1,19.0,19.0,1.73,8.05,2.12,1.0,8.05,g,4,-3.2499999999999982,3
