,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,Concreteness,onset,word_length,concreteness_impact,set_size
233,#trI_,4.390000000000001,cartridge,0.6,1,k#trI_,N,2,0,4.78,0.51,1,28,0.96,49,Noun,4.78,k,6,0.3899999999999997,2
234,#trI_,4.390000000000001,partridge,1.0,1,p#trI_,N,2,0,4.0,1.55,2,28,0.93,173,Noun,4.0,p,6,-0.39000000000000057,2
238,#v,3.75,carve,1.3,1,k#v,V,1,0,3.69,1.28,0,29,1.0,158,Verb,3.69,k,3,-0.06000000000000005,2
239,#v,3.75,halve,0.7,1,h#v,V,1,0,3.81,1.27,1,27,0.96,7,Verb,3.81,h,3,0.06000000000000005,2
245,$,3.887142857142858,gnaw,0.6,1,n$,V,1,0,3.86,1.33,0,28,1.0,19,Verb,3.86,n,2,-0.027142857142858023,7
246,$,3.887142857142858,jaw,1.34,1,_$,N,1,0,4.87,0.35,0,30,1.0,364,Noun,4.87,_,2,0.9828571428571422,7
247,$,3.887142857142858,law,2.35,1,l$,N,1,0,2.57,1.6,0,28,1.0,5932,Noun,2.57,l,2,-1.317142857142858,7
248,$,3.887142857142858,paw,0.78,1,p$,N,1,0,4.3,1.3,0,27,1.0,159,Noun,4.3,p,2,0.4128571428571419,7
249,$,3.887142857142858,raw,0.0,1,r$,N,1,0,3.35,1.38,0,26,1.0,519,Adjective,3.35,r,2,-0.5371428571428578,7
250,$,3.887142857142858,saw,0.0,1,s$,N,1,0,4.46,1.0,0,28,1.0,20527,Verb,4.46,s,2,0.5728571428571421,7
251,$,3.887142857142858,thaw,0.0,1,T$,N,1,0,3.8,1.1,0,30,1.0,81,Verb,3.8,T,2,-0.08714285714285808,7
253,$J,4.84,porch,1.15,1,p$J,N,1,0,4.92,0.27,0,26,1.0,491,Noun,4.92,p,3,0.08000000000000007,2
254,$J,4.84,torch,1.08,1,t$J,N,1,0,4.76,0.64,0,29,1.0,254,Noun,4.76,t,3,-0.08000000000000007,2
259,$R,3.376875,boar,0.3,1,b$R,N,1,0,4.8,0.76,0,30,1.0,111,Noun,4.8,b,3,1.4231249999999998,16
260,$R,3.376875,chore,0.9,1,J$R,N,1,0,3.78,0.95,1,24,0.96,51,Noun,3.78,J,3,0.40312499999999973,16
261,$R,3.376875,core,1.26,1,k$R,N,1,0,3.96,1.28,0,26,1.0,501,Noun,3.96,k,3,0.5831249999999999,16
262,$R,3.376875,door,2.59,1,d$R,N,1,0,4.81,0.65,0,31,1.0,14895,Noun,4.81,d,3,1.4331249999999995,16
263,$R,3.376875,for,3.9,1,f$R,PREP,1,0,1.63,1.08,0,27,1.0,351650,Preposition,1.63,f,3,-1.7468750000000002,16
264,$R,3.376875,gore,0.0,1,g$R,N,1,0,3.41,1.25,0,27,1.0,55,Name,3.41,g,3,0.03312500000000007,16
265,$R,3.376875,lore,0.48,1,l$R,N,1,0,2.35,1.23,2,28,0.93,34,Noun,2.35,l,3,-1.026875,16
266,$R,3.376875,more,3.09,1,m$R,PRON,1,0,2.37,1.39,0,27,1.0,66228,Determiner,2.37,m,3,-1.006875,16
267,$R,3.376875,nor,2.24,1,n$R,C,1,0,1.8,1.16,1,31,0.97,1835,Conjunction,1.8,n,3,-1.576875,16
268,$R,3.376875,poor,2.32,1,p$R,A,1,0,2.7,1.71,0,27,1.0,6583,Adjective,2.7,p,3,-0.6768749999999999,16
269,$R,3.376875,roar,1.04,1,r$R,N,1,0,3.81,1.0,0,27,1.0,205,Noun,3.81,r,3,0.433125,16
270,$R,3.376875,shore,1.48,1,S$R,N,1,0,4.79,0.63,0,28,1.0,1013,Name,4.79,S,3,1.413125,16
271,$R,3.376875,soar,1.0,1,s$R,V,1,0,3.67,1.21,0,27,1.0,78,Verb,3.67,s,3,0.29312499999999986,16
272,$R,3.376875,war,2.56,1,w$R,N,1,0,3.63,1.18,0,27,1.0,8912,Noun,3.63,w,3,0.2531249999999998,16
273,$R,3.376875,whore,0.9,1,h$R,N,1,0,4.15,1.06,0,27,1.0,1076,Noun,4.15,h,3,0.7731250000000003,16
274,$R,3.376875,your,3.21,1,j$R,PRON,1,0,2.37,1.45,0,27,1.0,328715,Pronoun,2.37,j,3,-1.006875,16
275,$SH,2.91,caution,1.08,0,k$SH,N,2,0,2.04,1.1,0,25,1.0,263,Noun,2.04,k,4,-0.8700000000000001,2
276,$SH,2.91,portion,1.18,0,p$SH,N,2,0,3.78,1.34,0,27,1.0,221,Noun,3.78,p,4,0.8699999999999997,2
277,$T,3.26,forth,1.65,1,f$T,ADV,1,0,2.38,1.42,1,27,0.96,804,Adverb,2.38,f,3,-0.8799999999999999,2
278,$T,3.26,north,1.65,1,n$T,N,1,0,4.14,1.27,0,29,1.0,3258,Noun,4.14,n,3,0.8799999999999999,2
